"dataset","cluster","tf","n_pred","rho_100_vs_1000","rho_100_vs_100","top5_jac_100_1000","top5_jac_100_100","top10_jac_100_1000","top1_same_100_1000"
"severity","cDC2","IRF7",79,0.867721518987342,0.731158714703019,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"severity","cDC2","MITF",79,0.897078870496592,0.757667964946446,1,0.666666666666667,1,TRUE
"severity","cDC2","BATF3",79,0.916772151898734,0.907424537487829,1,1,1,TRUE
"severity","cDC2","STAT1",79,0.909225900681597,0.752653359298929,0.666666666666667,1,1,TRUE
"severity","cDC2","EHF",79,0.92823758519961,0.83975170399221,1,0.666666666666667,0.818181818181818,TRUE
"severity","cDC2","IRF1",79,0.913534566699124,0.8615141187926,0.666666666666667,0.666666666666667,0.818181818181818,FALSE
"severity","cDC2","ID3",79,0.872517039922103,0.817259006815969,0.666666666666667,1,1,FALSE
"severity","cDC2","BHLHE41",79,0.9067429406037,0.780185004868549,0.666666666666667,0.666666666666667,1,TRUE
"severity","cDC2","NR4A1",79,0.924829600778968,0.869133398247322,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"severity","cDC2","E2F7",79,0.915701071080818,0.873904576436222,1,1,0.818181818181818,TRUE
"severity","cDC2","IRF4",79,0.906426484907498,0.798271665043817,1,1,0.666666666666667,TRUE
"severity","cDC2","MEF2C",79,0.925657254138267,0.833836416747809,1,1,0.818181818181818,TRUE
"severity","cDC2","IRF8",79,0.920472249269718,0.810296981499513,1,1,1,TRUE
"severity","cDC2","KLF2",79,0.821859785783837,0.714070107108082,0.666666666666667,0.428571428571429,0.818181818181818,TRUE
"severity","cDC2","KLF3",79,0.898247322297955,0.824269717624148,1,1,1,TRUE
"severity","cDC2","ENO1",79,0.853773125608569,0.782327166504382,1,1,0.818181818181818,TRUE
"severity","cDC2","MYBL1",79,0.906986368062317,0.762877312560857,0.666666666666667,0.666666666666667,1,TRUE
"severity","cDC2","E2F2",79,0.916163583252191,0.857838364167478,0.666666666666667,1,0.818181818181818,TRUE
"severity","cDC2","CEBPB",79,0.876411879259981,0.758081791626096,1,1,0.818181818181818,TRUE
"severity","cDC2","FOSB",79,0.885491723466407,0.755233690360273,1,0.666666666666667,1,TRUE
"severity","cDC2","E2F1",79,0.904089581304771,0.812585199610516,1,1,0.818181818181818,FALSE
"severity","cDC2","STAT3",79,0.892210321324245,0.788364167478092,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"severity","B_intermediate","JUND",49,0.945204081632653,0.90734693877551,1,1,1,TRUE
"severity","B_intermediate","ZNF274",49,0.977959183673469,0.96,0.666666666666667,0.666666666666667,1,TRUE
"severity","B_intermediate","POU2F2",49,0.958367346938775,0.890714285714286,1,1,0.818181818181818,TRUE
"severity","B_intermediate","BCL11A",49,0.958673469387755,0.907959183673469,1,1,1,TRUE
"severity","B_intermediate","IRF4",49,0.978469387755102,0.945408163265306,1,1,1,TRUE
"severity","B_intermediate","E2F1",49,0.956734693877551,0.914795918367347,1,1,0.666666666666667,TRUE
"severity","B_intermediate","EGR4",49,0.970816326530612,0.868775510204082,1,1,1,TRUE
"severity","B_intermediate","BCLAF1",49,0.958673469387755,0.936020408163265,0.666666666666667,0.666666666666667,1,FALSE
"severity","B_intermediate","KLF2",49,0.971428571428571,0.958367346938775,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"severity","B_intermediate","NR4A2",49,0.938367346938775,0.860714285714286,1,1,0.666666666666667,TRUE
"severity","B_intermediate","BACH1",49,0.962755102040816,0.947448979591837,1,1,0.818181818181818,TRUE
"severity","B_intermediate","E2F7",49,0.965102040816326,0.939897959183673,1,1,0.538461538461538,TRUE
"severity","B_intermediate","KLF10",49,0.981938775510204,0.955918367346939,1,1,0.818181818181818,TRUE
"severity","B_intermediate","RORA",49,0.950102040816326,0.904081632653061,0.666666666666667,0.666666666666667,1,TRUE
"severity","B_intermediate","TCF4",49,0.972551020408163,0.943877551020408,1,1,1,TRUE
"severity","B_intermediate","SP100",49,0.935,0.897448979591837,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"severity","B_intermediate","NFIX",49,0.965102040816326,0.951428571428571,1,1,0.818181818181818,TRUE
"severity","B_intermediate","TFEC",49,0.98,0.955816326530612,1,1,0.818181818181818,TRUE
"severity","B_intermediate","MEF2C",49,0.947755102040816,0.875816326530612,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"severity","B_intermediate","SMARCA5",49,0.965816326530612,0.919591836734694,1,1,0.818181818181818,TRUE
"severity","B_intermediate","ZNF331",49,0.964591836734694,0.918061224489796,0.666666666666667,0.666666666666667,0.666666666666667,TRUE
"severity","B_intermediate","KLF13",49,0.951122448979592,0.889489795918367,0.666666666666667,0.666666666666667,0.666666666666667,TRUE
"severity","B_intermediate","FOXP1",49,0.971734693877551,0.926122448979592,1,1,0.818181818181818,TRUE
"severity","B_intermediate","SPIB",49,0.966836734693878,0.969897959183673,1,0.666666666666667,0.818181818181818,TRUE
"severity","B_intermediate","ZNF148",49,0.965510204081633,0.917244897959184,1,1,1,TRUE
"severity","B_intermediate","HIF1A",49,0.964183673469388,0.909897959183673,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"severity","B_intermediate","HES4",49,0.970510204081633,0.946428571428571,1,1,1,TRUE
"severity","B_intermediate","ITGB2",49,0.95030612244898,0.922040816326531,1,1,1,TRUE
"severity","B_intermediate","FOXJ3",49,0.944387755102041,0.913673469387755,1,1,0.538461538461538,TRUE
"severity","B_intermediate","SCX",49,0.924285714285714,0.877857142857143,1,1,0.818181818181818,TRUE
"severity","B_intermediate","FOSB",49,0.965,0.924795918367347,0.666666666666667,0.666666666666667,0.666666666666667,TRUE
"severity","B_intermediate","YY1",49,0.913979591836735,0.877551020408163,1,0.666666666666667,1,TRUE
"severity","B_intermediate","ATF4",49,0.978571428571428,0.933061224489796,1,1,0.538461538461538,TRUE
"severity","B_intermediate","RBPJ",49,0.956836734693877,0.951530612244898,1,1,0.818181818181818,FALSE
"severity","B_intermediate","HIVEP1",49,0.970306122448979,0.912755102040816,1,1,0.818181818181818,TRUE
"severity","B_intermediate","NR3C1",49,0.970306122448979,0.938265306122449,1,1,1,TRUE
"severity","B_intermediate","PAX5",49,0.968469387755102,0.945408163265306,1,0.666666666666667,0.818181818181818,TRUE
"severity","B_intermediate","NR4A1",49,0.981428571428571,0.917857142857143,1,1,0.818181818181818,TRUE
"severity","B_intermediate","JUNB",49,0.912959183673469,0.844285714285714,1,0.666666666666667,0.818181818181818,TRUE
"severity","B_intermediate","CREB3L2",49,0.976836734693877,0.931428571428571,1,0.666666666666667,1,TRUE
"severity","B_intermediate","ETS2",49,0.953673469387755,0.871836734693877,1,1,1,TRUE
"severity","B_intermediate","ZNF816",49,0.922959183673469,0.873469387755102,1,1,0.666666666666667,TRUE
"severity","B_intermediate","SMARCB1",49,0.950918367346939,0.922551020408163,0.666666666666667,0.666666666666667,1,TRUE
"severity","B_intermediate","ELF1",49,0.945,0.890408163265306,1,1,0.818181818181818,TRUE
"severity","B_intermediate","CHD2",49,0.946632653061224,0.917551020408163,0.666666666666667,1,0.818181818181818,TRUE
"severity","B_intermediate","MEF2A",49,0.96704081632653,0.94765306122449,1,1,1,TRUE
"severity","B_intermediate","ELF2",49,0.932448979591837,0.842857142857143,1,0.666666666666667,0.818181818181818,TRUE
"severity","B_intermediate","NFKB2",49,0.947551020408163,0.925510204081633,1,0.666666666666667,1,TRUE
"severity","B_intermediate","KLF6",49,0.960816326530612,0.968571428571429,1,1,0.818181818181818,TRUE
"severity","B_intermediate","EGR2",49,0.862448979591837,0.739897959183673,1,1,0.818181818181818,TRUE
"severity","B_intermediate","BACH2",49,0.965918367346939,0.948163265306122,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"severity","B_intermediate","IKZF3",49,0.954081632653061,0.949795918367347,1,1,0.666666666666667,TRUE
"severity","B_intermediate","YBX1",49,0.97530612244898,0.919795918367347,1,0.666666666666667,0.818181818181818,TRUE
"severity","B_intermediate","FOXO6",49,0.911224489795918,0.841632653061224,1,1,1,TRUE
"severity","B_intermediate","ATF5",49,0.958979591836735,0.92265306122449,1,1,0.666666666666667,TRUE
"severity","B_intermediate","ARID3B",49,0.902244897959184,0.806938775510204,1,1,0.666666666666667,TRUE
"severity","B_intermediate","ID3",49,0.96969387755102,0.883877551020408,1,1,0.818181818181818,TRUE
"severity","B_intermediate","MLXIP",49,0.936428571428571,0.850714285714286,1,1,0.818181818181818,TRUE
"severity","B_intermediate","KLF7",49,0.969387755102041,0.938265306122449,1,1,1,TRUE
"severity","B_intermediate","ID1",49,0.943367346938775,0.880102040816326,0.666666666666667,0.666666666666667,1,TRUE
"severity","B_intermediate","AIRE",49,0.960816326530612,0.885714285714286,1,1,0.818181818181818,TRUE
"severity","B_intermediate","NFATC3",49,0.823061224489796,0.690408163265306,1,0.666666666666667,1,TRUE
"severity","B_intermediate","PBX1",49,0.953061224489796,0.919897959183673,1,1,1,TRUE
"severity","B_intermediate","MYBL2",49,0.971938775510204,0.952551020408163,1,1,1,TRUE
"severity","B_intermediate","REST",49,0.862959183673469,0.701632653061224,0.666666666666667,1,0.818181818181818,TRUE
"severity","B_intermediate","MAFB",49,0.90030612244898,0.693571428571429,1,1,0.818181818181818,TRUE
"severity","B_intermediate","EGR1",49,0.956428571428571,0.923265306122449,1,1,1,TRUE
"severity","B_intermediate","IRF8",49,0.970510204081633,0.945102040816327,1,0.666666666666667,0.818181818181818,TRUE
"severity","B_intermediate","REL",49,0.920408163265306,0.829081632653061,1,1,1,TRUE
"severity","B_intermediate","SP140",49,0.952448979591837,0.93,0.666666666666667,1,1,TRUE
"severity","B_intermediate","ZBTB14",49,0.96265306122449,0.924591836734694,1,1,0.666666666666667,TRUE
"severity","B_intermediate","CEBPD",49,0.950918367346939,0.838265306122449,0.666666666666667,0.666666666666667,1,TRUE
"severity","B_intermediate","BCL6",49,0.960714285714286,0.902755102040816,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"severity","B_intermediate","KLF3",49,0.982755102040816,0.936836734693878,1,1,0.818181818181818,TRUE
"severity","B_intermediate","STAT1",49,0.948265306122449,0.906632653061224,1,1,1,FALSE
"severity","B_intermediate","ZBTB4",49,0.966734693877551,0.960816326530612,1,1,0.818181818181818,TRUE
"severity","B_intermediate","IRF1",49,0.979897959183673,0.906224489795918,1,1,0.818181818181818,TRUE
"severity","B_intermediate","ETS1",49,0.954489795918367,0.909081632653061,1,1,0.666666666666667,TRUE
"severity","B_intermediate","IRF9",49,0.974591836734694,0.938877551020408,1,1,0.818181818181818,TRUE
"severity","B_intermediate","MYC",49,0.946224489795918,0.874081632653061,1,1,1,TRUE
"severity","B_intermediate","IRF7",49,0.916530612244898,0.905816326530612,1,0.666666666666667,0.818181818181818,TRUE
"severity","B_intermediate","ARID3A",49,0.956020408163265,0.907244897959184,1,1,0.666666666666667,TRUE
"severity","B_intermediate","HES1",49,0.978469387755102,0.958673469387755,0.666666666666667,1,0.818181818181818,TRUE
"severity","B_intermediate","STAT2",49,0.948673469387755,0.887142857142857,1,1,1,TRUE
"severity","CD8_TEM","KLF7",37,0.922238027501185,0.91678520625889,0.666666666666667,0.666666666666667,1,FALSE
"severity","CD8_TEM","GTF2I",37,0.922712185870081,0.79113323850166,1,1,1,TRUE
"severity","CD8_TEM","BCLAF1",37,0.952821242294926,0.885253674727359,1,0.666666666666667,1,TRUE
"severity","CD8_TEM","FOSB",37,0.962541488857278,0.921526789947843,1,1,0.818181818181818,TRUE
"severity","CD8_TEM","SP1",37,0.977951635846373,0.943338074917022,1,1,1,TRUE
"severity","CD8_TEM","CTCF",37,0.95448079658606,0.932195353247985,0.666666666666667,0.666666666666667,1,TRUE
"severity","CD8_TEM","JUND",37,0.96538643907065,0.924371740161214,0.666666666666667,1,1,TRUE
"severity","CD8_TEM","FOS",37,0.971076339497392,0.953532479848269,1,0.666666666666667,1,TRUE
"severity","CD8_TEM","JUNB",37,0.975106685633001,0.952584163110479,1,1,0.818181818181818,TRUE
"severity","CD8_TEM","ATF3",37,0.967757230915126,0.936936936936937,0.666666666666667,1,0.818181818181818,TRUE
"severity","CD8_TEM","NEUROG2",37,0.96633475580844,0.90990990990991,0.666666666666667,1,0.818181818181818,TRUE
"severity","CD8_TEM","GLI1",37,0.958748221906117,0.927453769559033,0.666666666666667,1,0.666666666666667,TRUE
"severity","CD8_TEM","MBD2",37,0.976766239924135,0.87719298245614,1,1,1,TRUE
"severity","CD8_TEM","KLF10",37,0.952347083926031,0.936936936936937,1,1,0.818181818181818,TRUE
"severity","CD8_TEM","ELF1",37,0.935040303461356,0.921526789947843,0.666666666666667,0.666666666666667,1,TRUE
"severity","CD8_TEM","HES5",37,0.97226173541963,0.884305357989569,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"severity","CD8_TEM","NR4A3",37,0.927453769559033,0.87624466571835,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"severity","CD8_TEM","SP4",37,0.973921289710763,0.935514461830251,1,1,1,TRUE
"severity","CD8_TEM","MYC",37,0.921526789947843,0.864864864864865,1,0.666666666666667,0.666666666666667,TRUE
"severity","CD8_TEM","E2F2",37,0.911806543385491,0.868895211000474,0.666666666666667,1,0.818181818181818,TRUE
"severity","CD8_TEM","MAZ",37,0.94262683736368,0.862731152204836,0.666666666666667,0.666666666666667,1,TRUE
"severity","CD8_TEM","STAT3",37,0.944760550023708,0.851351351351351,0.666666666666667,1,1,TRUE
"severity","CD8_TEM","RUNX2",37,0.97724039829303,0.896633475580844,1,0.666666666666667,0.818181818181818,TRUE
"severity","CD8_TEM","ATF4",37,0.969416785206259,0.953769559032717,0.666666666666667,1,1,TRUE
"severity","CD8_TEM","IRF1",37,0.954006638217164,0.920578473210052,1,1,0.818181818181818,TRUE
"severity","CD8_TEM","EGR1",37,0.964912280701754,0.929350403034613,0.666666666666667,1,1,TRUE
"severity","CD8_TEM","SMARCA5",37,0.924845898530109,0.774537695590327,1,0.666666666666667,0.818181818181818,TRUE
"severity","CD8_TEM","RELB",37,0.948790896159317,0.907302038880986,1,1,0.818181818181818,TRUE
"severity","CD8_TEM","KLF3",37,0.903271692745377,0.78710289236605,1,0.666666666666667,0.818181818181818,TRUE
"severity","CD8_TEM","FOXN3",37,0.903508771929825,0.843290659080133,0.666666666666667,0.666666666666667,1,TRUE
"severity","CD8_TEM","ETS1",37,0.893314366998578,0.827406353722143,1,1,0.818181818181818,TRUE
"severity","CD8_TEM","ID2",37,0.91678520625889,0.88715030820294,0.666666666666667,1,1,TRUE
"severity","CD8_TEM","IRF9",37,0.946657183499289,0.917970602181128,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"severity","CD8_TEM","RUNX3",37,0.929587482219061,0.832859174964438,0.428571428571429,0.666666666666667,0.818181818181818,TRUE
"severity","CD8_TEM","ELF2",37,0.93859649122807,0.942389758179232,1,1,0.818181818181818,TRUE
"severity","CD8_TEM","KLF6",37,0.958748221906117,0.920104314841157,1,1,0.818181818181818,TRUE
"severity","CD8_TEM","E2F3",37,0.942152678994784,0.907302038880986,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"severity","CD8_TEM","KLF13",37,0.938359412043622,0.846846846846847,1,1,0.818181818181818,TRUE
"severity","CD8_TEM","TCF7",37,0.959933617828355,0.879563774300616,0.666666666666667,1,1,TRUE
"severity","CD8_TEM","XBP1",37,0.974632527264106,0.846846846846847,1,1,0.818181818181818,TRUE
"severity","CD8_TEM","FUBP1",37,0.927216690374585,0.883594120436226,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"severity","CD8_TEM","ENO1",37,0.913940256045519,0.909435751541015,1,1,0.666666666666667,TRUE
"severity","CD8_TEM","IRF7",37,0.958274063537221,0.923186344238976,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"severity","CD8_TEM","EWSR1",37,0.92769084874348,0.889046941678521,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"severity","CD8_TEM","TFDP2",37,0.934329065908013,0.873873873873874,0.666666666666667,0.666666666666667,1,TRUE
"severity","CD8_TEM","RAD21",37,0.949027975343765,0.900426742532006,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"severity","CD8_TEM","TCF7L2",37,0.941204362256994,0.852062588904694,1,0.666666666666667,1,TRUE
"severity","CD8_TEM","LYL1",37,0.961593172119488,0.945945945945946,0.666666666666667,0.666666666666667,1,TRUE
"severity","CD8_TEM","BHLHE40",37,0.968705547652916,0.949265054528212,0.666666666666667,1,0.818181818181818,TRUE
"severity","CD8_TEM","PRDM1",37,0.951872925557136,0.93859649122807,1,0.666666666666667,0.666666666666667,TRUE
"severity","CD8_TEM","MAF",37,0.952821242294926,0.907064959696539,0.428571428571429,0.428571428571429,0.818181818181818,TRUE
"severity","CD8_TEM","TAL1",37,0.959933617828355,0.919867235656709,1,1,1,TRUE
