"cluster","tf","ntree","oob_r2","imp_stability_spearman","imp_top5_jaccard"
"Platelets","JUN",500,0.514859096832999,0.96996336996337,1
"Platelets","JUN",1000,0.515460426105472,0.978876678876679,1
"Platelets","USF2",100,0.541469319165509,0.941636141636142,1
"Platelets","USF2",500,0.567814895787534,0.978754578754579,1
"Platelets","USF2",1000,0.568928303218144,0.988400488400488,1
"Platelets","RUNX1",100,0.528635905559669,0.940781440781441,0.874074074074074
"Platelets","RUNX1",500,0.541558046059957,0.982051282051282,1
"Platelets","RUNX1",1000,0.539563791403269,0.990842490842491,1
"Platelets","EWSR1",100,0.494834918664905,0.934554334554335,1
"Platelets","EWSR1",500,0.500391701086487,0.978998778998779,1
"Platelets","EWSR1",1000,0.502569561307597,0.988766788766789,1
"Platelets","LYL1",100,0.513951924550435,0.958241758241758,1
"Platelets","LYL1",500,0.537835530889226,0.982173382173382,1
"Platelets","LYL1",1000,0.538407458958349,0.991941391941392,1
"Platelets","ZNF394",100,0.541477941693286,0.966422466422466,0.881481481481481
"Platelets","ZNF394",500,0.548119618439363,0.984737484737485,0.881481481481481
"Platelets","ZNF394",1000,0.550470892469472,0.986691086691087,0.881481481481481
"Platelets","FOSL1",100,0.498361749224781,0.931623931623932,1
"Platelets","FOSL1",500,0.515810325080791,0.965201465201465,1
"Platelets","FOSL1",1000,0.51698311279284,0.979242979242979,1
"Platelets","DBP",100,0.549756482367139,0.962148962148962,0.881481481481481
"Platelets","DBP",500,0.55309366530914,0.992063492063492,0.933333333333333
"Platelets","DBP",1000,0.554712576449187,0.995848595848596,1
"Platelets","ZNF35",100,0.441307960243836,0.923321123321123,1
"Platelets","ZNF35",500,0.448092738322998,0.97008547008547,1
"Platelets","ZNF35",1000,0.444739671990211,0.977655677655678,1
"Platelets","GLI3",100,0.482834008944044,0.908791208791209,0.874074074074074
"Platelets","GLI3",500,0.489155383195976,0.96043956043956,1
"Platelets","GLI3",1000,0.484880988568662,0.964346764346764,1
"Platelets","FOXP3",100,0.467846070458788,0.948717948717949,0.844444444444444
"Platelets","FOXP3",500,0.470503517539713,0.978998778998779,0.933333333333333
"Platelets","FOXP3",1000,0.46894450010978,0.982783882783883,1
"Platelets","BATF",100,0.516833047456832,0.963614163614164,0.822222222222222
"Platelets","BATF",500,0.52194956479666,0.986202686202686,0.933333333333333
"Platelets","BATF",1000,0.523021923839393,0.991086691086691,1
"Platelets","RARA",100,0.477638328172568,0.963369963369963,0.822222222222222
"Platelets","RARA",500,0.500124005213576,0.973504273504273,0.881481481481481
"Platelets","RARA",1000,0.504512587083552,0.978388278388278,1
"Platelets","MYEF2",100,0.495013706266285,0.969352869352869,0.933333333333333
"Platelets","MYEF2",500,0.499465650722173,0.993040293040293,1
"Platelets","MYEF2",1000,0.500855450213479,0.993894993894994,1
"Platelets","FOXP4",100,0.496034642367545,0.973748473748474,0.844444444444444
"Platelets","FOXP4",500,0.509564272930696,0.990720390720391,0.844444444444444
"Platelets","FOXP4",1000,0.51344982800865,0.996092796092796,0.881481481481481
"Platelets","PAX8",100,0.504732785811566,0.971672771672772,0.8
"Platelets","PAX8",500,0.520756663552161,0.989010989010989,1
"Platelets","PAX8",1000,0.520309760606777,0.993040293040293,1
"Platelets","EGR1",100,0.478433161419893,0.925518925518926,0.77989417989418
"Platelets","EGR1",500,0.496653075356516,0.985592185592186,1
"Platelets","EGR1",1000,0.500496883363045,0.98974358974359,1
"Platelets","MAX",100,0.495325108040189,0.968498168498168,0.933333333333333
"Platelets","MAX",500,0.503788578264973,0.985103785103785,1
"Platelets","MAX",1000,0.505228379049476,0.991941391941392,1
"Platelets","FOS",100,0.564710154962952,0.976923076923077,0.82962962962963
"Platelets","FOS",500,0.583780606115566,0.995482295482296,0.881481481481482
"Platelets","FOS",1000,0.582794891840393,0.997069597069597,1
"Platelets","BHLHE40",100,0.643684435330797,0.98949938949939,0.844444444444444
"Platelets","BHLHE40",500,0.645515975481373,0.995238095238095,0.933333333333333
"Platelets","BHLHE40",1000,0.647817253184249,0.998046398046398,1
"cDC2","NR2C2",100,0.732014693506175,0.853926062467998,1
"cDC2","NR2C2",500,0.740595834864425,0.959660283324799,1
"cDC2","NR2C2",1000,0.740432314750837,0.979096774193548,1
"cDC2","CEBPB",100,0.77766740953095,0.860442532855436,1
"cDC2","CEBPB",500,0.788161539242135,0.967505034988906,1
"cDC2","CEBPB",1000,0.790328345532427,0.982011401263014,1
"cDC2","NFKB1",100,0.865560583512456,0.863376275814985,0.755555555555556
"cDC2","NFKB1",500,0.867876286048919,0.959984297661717,0.822222222222222
