"dataset","method","threshold","auroc","n_true"
"MilCOVID_Azimuthl2","Decipher",1,0.511,52
"MilCOVID_Azimuthl2","SumOverTFs",1,0.511,52
"MilCOVID_Azimuthl2","NoSpearmanSign",1,0.516,52
"MilCOVID_Azimuthl2","UnsignedMagnitude",1,0.501,52
"MilCOVID_Azimuthl2","ImpOnly",1,0.5,52
"MilCOVID_Azimuthl2","Decipher",2,0.479,22
"MilCOVID_Azimuthl2","SumOverTFs",2,0.479,22
"MilCOVID_Azimuthl2","NoSpearmanSign",2,0.556,22
"MilCOVID_Azimuthl2","UnsignedMagnitude",2,0.552,22
"MilCOVID_Azimuthl2","ImpOnly",2,0.55,22
"MilCOVID_Azimuthl2","Decipher",3,0.501,6
"MilCOVID_Azimuthl2","SumOverTFs",3,0.501,6
"MilCOVID_Azimuthl2","NoSpearmanSign",3,0.486,6
"MilCOVID_Azimuthl2","UnsignedMagnitude",3,0.434,6
"MilCOVID_Azimuthl2","ImpOnly",3,0.434,6
"MilCOVID_Azimuthl2","Decipher",4,0.501,6
"MilCOVID_Azimuthl2","SumOverTFs",4,0.501,6
"MilCOVID_Azimuthl2","NoSpearmanSign",4,0.486,6
"MilCOVID_Azimuthl2","UnsignedMagnitude",4,0.434,6
"MilCOVID_Azimuthl2","ImpOnly",4,0.434,6
