"dataset","cluster","tf","deltaPagoda","cor_score_expr","anchor_sign","anchored_delta","flipped","weak_anchor"
"covid","CD16_plus_monocytes","HIF1A",1.92539498912254,0.663694705594626,1,1.92539498912254,FALSE,FALSE
"covid","CD16_plus_monocytes","ATF3",2.77594819294282,0.0453655173693414,1,2.77594819294282,FALSE,TRUE
"covid","CD16_plus_monocytes","ATF5",2.78514877471754,0.422218378970913,1,2.78514877471754,FALSE,FALSE
"covid","CD16_plus_monocytes","IRF1",2.80026162083427,0.568238127769958,1,2.80026162083427,FALSE,FALSE
"covid","CD4_T","EGR3",-1.42233035057487,-0.0631976210714632,-1,1.42233035057487,TRUE,TRUE
"covid","CD4_T","GFI1B",-1.12808220518035,-0.0204668701123685,-1,1.12808220518035,TRUE,TRUE
"covid","CD4_T","POLR3G",-0.871679035426189,0.00385493066182041,1,-0.871679035426189,FALSE,TRUE
"covid","CD4_T","RFX1",-0.811231635124071,0.0980466613661323,1,-0.811231635124071,FALSE,TRUE
"covid","CD4_T","EGR1",-0.764658136763522,-0.0538912856177662,-1,0.764658136763522,TRUE,TRUE
"covid","CD4_T","ZBTB7A",-0.763807685941798,-0.178973962615716,-1,0.763807685941798,TRUE,TRUE
"covid","CD4_T","ETS1",-0.59414097777965,-0.280153354515848,-1,0.59414097777965,TRUE,FALSE
"covid","CD4_T","FOXP1",0.802877305453263,0.489219165404132,1,0.802877305453263,FALSE,FALSE
"covid","CD4_T","POU3F1",0.828688000587515,-0.019828129307324,-1,-0.828688000587515,TRUE,TRUE
"covid","CD4_T","AR",0.866351032837258,0.0560719409966178,1,0.866351032837258,FALSE,TRUE
"covid","CD4_T","ZEB1",0.888851290590633,0.28394340383394,1,0.888851290590633,FALSE,FALSE
"covid","CD4_T","LMO2",0.915123395958917,0.0335748752061283,1,0.915123395958917,FALSE,TRUE
"covid","CD4_T","IKZF2",0.976787183523299,0.206548756390363,1,0.976787183523299,FALSE,FALSE
"covid","CD4_T","CEBPD",0.979524765445467,0.0585007117665201,1,0.979524765445467,FALSE,TRUE
"covid","CD4_T","IKZF3",1.00392470169398,0.232697236635646,1,1.00392470169398,FALSE,FALSE
"covid","CD4_T","HSF4",1.00646480394933,0.120001241066507,1,1.00646480394933,FALSE,TRUE
"covid","CD4_T","AHRR",1.01449411194661,0.031075115819358,1,1.01449411194661,FALSE,TRUE
"covid","CD4_T","NR4A2",1.04266933578414,0.354777758085367,1,1.04266933578414,FALSE,FALSE
"covid","CD4_T","TP73",1.04964350087818,-0.0493956030206856,-1,-1.04964350087818,TRUE,TRUE
"covid","CD4_T","PAX6",1.07101923997439,0.00733173859159196,1,1.07101923997439,FALSE,TRUE
"covid","CD4_T","TCF7",1.08120180066592,0.0464303055013701,1,1.08120180066592,FALSE,TRUE
"covid","CD4_T","LEF1",1.13263738623036,0.0392336115780498,1,1.13263738623036,FALSE,TRUE
"covid","CD4_T","MGA",1.17695095803283,0.225461528125053,1,1.17695095803283,FALSE,FALSE
"covid","CD4_T","SOX7",1.23088786040678,0.0189786468141808,1,1.23088786040678,FALSE,TRUE
"covid","CD4_T","RFX3",1.24483629277905,0.369258933384165,1,1.24483629277905,FALSE,FALSE
"covid","CD4_T","NFIA",1.28035195797596,0.0746456106092694,1,1.28035195797596,FALSE,TRUE
"covid","CD4_T","BCLAF1",1.28370428124774,0.486055674401475,1,1.28370428124774,FALSE,FALSE
"covid","CD4_T","MAF",1.37195068394411,0.529025028152369,1,1.37195068394411,FALSE,FALSE
"covid","CD4_T","FOXP3",1.39647594487827,0.240852316452061,1,1.39647594487827,FALSE,FALSE
"covid","CD4_T","BDP1",1.40279302850025,0.319452752690197,1,1.40279302850025,FALSE,FALSE
"covid","CD4_T","NFAT5",1.41668946408313,0.249757816234172,1,1.41668946408313,FALSE,FALSE
"covid","CD4_T","FOXI1",1.57169591376729,NA,NA,NA,FALSE,FALSE
"covid","CD4_T","ZBTB16",1.59060673715513,0.137235270432491,1,1.59060673715513,FALSE,TRUE
"covid","CD4_T","POU2F1",1.64121240954013,0.210476122022486,1,1.64121240954013,FALSE,FALSE
"covid","CD4_T","HIVEP1",1.66025098084179,-0.0709016968509992,-1,-1.66025098084179,TRUE,TRUE
"covid","CD4_T","BCL11B",1.67068593972728,0.247477807383501,1,1.67068593972728,FALSE,FALSE
"covid","CD4_T","ARID3A",1.68103046544999,0.057233732889599,1,1.68103046544999,FALSE,TRUE
"covid","CD4_T","HIVEP3",1.68745147744458,0.199351619164638,1,1.68745147744458,FALSE,TRUE
"covid","CD4_T","SPI1",1.75622164354135,0.00314151559353342,1,1.75622164354135,FALSE,TRUE
"covid","CD4_T","FOXC2",1.76471612194191,NA,NA,NA,FALSE,FALSE
