p_val,avg_logFC,Severe/Mod (pct cell expr),Healthy (pct cells expr),p_val_adj,comp,gene,clust,pt,seurat_clusters,final
2.92E-07,0.347299685,0.392,0.066,0.009792195,severe-mod_vs_Healthy_clust_11,FLT3,11,severe-mod,11,C MONO_IFN
3.13E-07,-0.281679743,1,1,0.01050502,severe-mod_vs_Healthy_clust_11,MT-ATP6,11,severe-mod,11,C MONO_IFN
3.28E-07,0.348476093,0.403,0.066,0.011001028,severe-mod_vs_Healthy_clust_11,ITGB7,11,severe-mod,11,C MONO_IFN
3.29E-07,0.378789538,0.704,0.377,0.011034978,severe-mod_vs_Healthy_clust_11,RRBP1,11,severe-mod,11,C MONO_IFN
3.91E-07,0.347115994,0.487,0.148,0.013127836,severe-mod_vs_Healthy_clust_11,NT5C2,11,severe-mod,11,C MONO_IFN
4.02E-07,0.554869204,0.667,0.41,0.013481137,severe-mod_vs_Healthy_clust_11,CD163,11,severe-mod,11,C MONO_IFN
4.09E-07,-0.479439271,0.3,0.574,0.01370618,severe-mod_vs_Healthy_clust_11,EGR1,11,severe-mod,11,C MONO_IFN
4.09E-07,0.353736673,0.897,0.689,0.01373239,severe-mod_vs_Healthy_clust_11,PGAM1,11,severe-mod,11,C MONO_IFN
4.21E-07,-0.553219481,0.366,0.557,0.014131771,severe-mod_vs_Healthy_clust_11,KDM6B,11,severe-mod,11,C MONO_IFN
4.38E-07,0.311091816,0.373,0.049,0.014690998,severe-mod_vs_Healthy_clust_11,UTY,11,severe-mod,11,C MONO_IFN
4.47E-07,0.372120385,0.775,0.459,0.014999833,severe-mod_vs_Healthy_clust_11,ROMO1,11,severe-mod,11,C MONO_IFN
